 115 1 1 1 	 Note	 10	 C1	 90	 0 0 1 0
 115 1 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 115 2 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 115 3 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 115 4 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 115 5 1 1 	 Note	 10	 C1	 45	 0 0 1 0
 115 5 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 115 6 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 115 7 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 116 1 1 1 	 Note	 10	 C1	 90	 0 0 1 0
 116 1 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 116 2 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 116 3 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 116 4 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 116 5 1 1 	 Note	 10	 C1	 45	 0 0 1 0
 116 5 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 116 6 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 116 7 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 117 1 1 1 	 Note	 10	 C1	 90	 0 0 1 0
 117 1 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 117 2 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 117 3 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 117 4 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 117 5 1 1 	 Note	 10	 C1	 45	 0 0 1 0
 117 5 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 117 6 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 117 7 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 118 1 1 1 	 Note	 10	 C1	 90	 0 0 1 0
 118 1 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 118 2 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 118 3 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 118 4 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 118 5 1 1 	 Note	 10	 C1	 45	 0 0 1 0
 118 5 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 118 6 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 118 7 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 119 1 1 1 	 Note	 10	 C1	 90	 0 0 1 0
 119 1 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 119 2 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 119 3 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 119 4 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 119 5 1 1 	 Note	 10	 C1	 45	 0 0 1 0
 119 5 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 119 6 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 119 7 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 120 1 1 1 	 Note	 10	 C1	 90	 0 0 1 0
 120 1 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 120 2 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 120 3 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 120 4 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 120 5 1 1 	 Note	 10	 C1	 45	 0 0 1 0
 120 5 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 120 6 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
 120 7 1 1 	 Note	 10	 F♯1	 45	 0 0 1 0
